Level Time PositionX PositionY x y
Selected: 
1 (1.267585, (1.28, -0.26)) 0.2 0.115
1 (1.412839, (0.81, 0.13)) 0.2 0.125
1 (1.546127, (1.39, -0.38)) 0.205 0.14
1 (2.92348, (2.76, 0.15)) 0.185 0.1140192
1 (3.046252, (2.85, -0.24)) 0.2259808 0.125
1 (3.18422, (2.60, -0.04)) 0.2025 0.1443301
1 (4.720088, (2.53, -0.19)) 0.1740192 0.155
1 (5.175948, (2.01, -0.23)) 0.1975 0.1356699
1 (6.195093, (3.38, 0.94)) 0.2075 0.1529904
1 (6.461383, (3.27, 0.81)) 0.2025 0.1356699
1 (6.776653, (3.13, 0.79)) 0.2 0.11
1 (6.92816, (3.59, 0.90)) 0.2125 0.1183494
1 (7.997618, (2.99, 0.20)) 0.1783494 0.1275
1 (8.139636, (3.25, -0.11)) 0.22 0.14
1 (8.2875, (3.47, 0.31)) 0.215 0.1659808
1 (8.62824, (3.18, 0.06)) 0.2216506 0.1525
1 (9.402877, (3.16, 0.09)) 0.1783494 0.1525
1 (9.651848, (3.25, -0.07)) 0.21 0.14
1 (10.13077, (3.20, 0.35)) 0.2173205 0.15
1 (10.29827, (3.56, 0.24)) 0.1975 0.1443301
1 (11.65042, (3.07, 0.48)) 0.22 0.14
1 (12.64359, (3.60, -0.23)) 0.195 0.14
1 (12.95541, (3.80, -0.08)) 0.2259808 0.155
1 (13.44588, (3.70, -0.09)) 0.2129904 0.1475
1 (13.61169, (3.32, 0.69)) 0.2216506 0.1275
1 (14.35388, (3.69, -0.05)) 0.205 0.1486603
1 (14.50387, (3.12, -0.24)) 0.1870096 0.1475
1 (15.91064, (2.85, -0.17)) 0.2075 0.1270096
1 (16.03288, (2.91, 0.07)) 0.19 0.1226795
1 (16.85022, (3.41, 0.20)) 0.2129904 0.1325
1 (17.02047, (3.30, -11.00)) 0.2 0.145

Stage 2 start:16.95486
Sorted: 

Let through: 
1 0.21 0.14
1 0.2086603 0.135
1 0.18 0.14
1 0.19 0.1573205
1 0.21 0.1226795
1 0.225 0.14
1 0.2 0.145
1 0.195 0.1313397
1 0.2 0.15
1 0.1826795 0.15
1 0.215 0.14
1 0.1740192 0.125
1 0.2125 0.1616506
1 0.195 0.1486603
1 0.1956699 0.1375
1 0.2086603 0.145
1 0.215 0.1140192
1 0.185 0.14
1 0.1826795 0.13
1 0.2 0.155
1 0.2 0.135
1 0.205 0.1313397
1 0.1925 0.1270096
1 0.225 0.14
1 0.1913397 0.145
1 0.2 0.17
1 0.19 0.14
1 0.1875 0.1616506
1 0.23 0.14
1 0.215 0.14
1 0.21 0.1573205
1 0.175 0.14
1 0.1875 0.1183494
1 0.185 0.1659808
1 0.1870096 0.1325
1 0.1913397 0.135
1 0.2173205 0.13
1 0.2 0.16
1 0.2 0.13
1 0.205 0.14
1 0.17 0.14
1 0.2043301 0.1375
1 0.1925 0.1529904
1 0.2 0.165
1 0.2043301 0.1425
1 0.23 0.14
1 0.1956699 0.1425
1 0.2 0.12


